1,1E+18,root,2020-05-07 10:07:43.326 周四,入库
1,1E+18,root,2020-05-07 10:08:07.274 周四,入库
1,1E+18,root,2020-05-07 10:08:38.962 周四,入库
1,1E+18,root,2020-05-07 10:09:43.978 周四,入库
1,1E+18,root,2020-05-07 10:10:12.994 周四,入库
1,1E+18,root,2020-05-07 10:10:59.146 周四,批量导出
1,1E+18,root,2020-05-07 10:11:41.058 周四,批量导出
1,1000000000000000008,root,2020-05-07 10:17:38.108 周四,批量导入
1,1000000000000000001,root,2020-05-07 19:50:57.941 周四,批量导入
1,1000000000000000001,root,2020-05-07 19:53:33.477 周四,批量导入
1,1000000000000000001,root,2020-05-07 20:02:45.371 周四,批量导入
1,1000000000000000001,root,2020-05-07 20:09:38.848 周四,入库
1,1000000000000000002,root,2020-05-07 20:10:25.461 周四,入库
1,1000000000000000003,root,2020-05-07 20:10:49.035 周四,入库
1,1000000000000000004,root,2020-05-07 20:12:04.123 周四,入库
1,1000000000000000005,root,2020-05-07 20:12:21.078 周四,批量导出
1,1000000000000000006,root,2020-05-07 20:12:48.679 周四,批量导出
1,1000000000000000007,root,2020-05-07 20:13:14.072 周四,批量导出
1,1000000000000000008,root,2020-05-07 20:38:46.048 周四,入库
1,1000000000000000009,root,2020-05-07 20:40:09.829 周四,入库
1,1000000000000000001,root,2020-05-07 21:42:40.872 周四,批量导入
1,1000000000000000001,root,2020-05-07 21:43:57.589 周四,批量导入
1,1000000000000000001,root,2020-05-07 21:53:48.499 周四,批量导入
1,1000000000000000002,root,2020-05-07 21:55:43.326 周四,批量导入
1,1000000000000000003,root,2020-05-07 22:00:28.960 周四,入库
1,1000000000000000001,root,2020-05-07 22:01:14.512 周四,入库
1,1000000000000000002,root,2020-05-07 22:01:43.726 周四,入库
1,1000000000000000003,root,2020-05-07 22:02:52.230 周四,入库
1,1000000000000000004,root,2020-05-07 22:03:36.230 周四,入库
1,1000000000000000005,root,2020-05-07 22:04:07.277 周四,入库
1,1000000000000000006,root,2020-05-07 22:04:24.846 周四,批量导出
1,1000000000000000007,root,2020-05-07 22:05:05.007 周四,批量导出
